"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C82,C14,C20,C72,C74,C76,C78,C80,C84,C2,C3,C6,C16,C18,C22,C24,C26,C38,C45,C47,C50,C53,C55,C61,C73,C134,C89,C91,C108,C116,C117,C123,C124,C129,C130,C132,C104,C115,C125,C131,C92,C133";"C_1206_0603";42;"100n";;;
2;"R4,R1";"R_1206_0603";2;"k75";;;
3;"U8,U1";"SOIC-14_3.9x8.7mm_Pitch1.27mm";2;"MC33179DR2G";;;
4;"C60,C69";"C_0603";2;"390p";;;
5;"L13,L12";"Resistor_Horizontal_RM10mm";2;"472K";;;
6;"C57,C58,C63,C66,C68,C70,C8,C9";"TantalC_SizeA_EIA-3216_Wave";8;"6.8uF";;;
7;"C10,C5,L17,L19";"C_0603";4;"4.7uF";;;
8;"C11,C34,C56,C65";"C_0603";4;"15n";;;
9;"C21,C86,C87,L23,L24,L25";"C_1206_0603";6;"1uF";;;
10;"C23,C33,C43,C51";"C_1206_0603";4;"27n";;;
11;"C25";"C_1206_0603";1;"22p";;;
12;"C44";"C_1206_0603";1;"2n2";;;
13;"C71,C90,C95,C96,C98,C99";"C_1206_0603";6;"1n";;;
14;"C77,C85,C83";"C_Radial_D5_L11_P2.5";3;"100uF";;;
15;"L11,L3,L2,L5";"Resistor_Horizontal_RM10mm";4;"100uH";;;
16;"R3,R44,R9,R14,R22,R41,R52,R59,R60,R61,R62,R63,R64";"R_1206_0603";13;"10k";;;
17;"R5,R13,R25,R34,R40,R42,R43,R46,R47,R48";"R_0603";10;"4k75";;;
18;"R8,R29,R7,R26,R39,R45";"R_0603";6;"1k 1%";;;
19;"R11,R21,R31,R2";"R_0603";4;"3k 1%";;;
20;"R15,R16";"R_1206_0603";2;"k51";;;
21;"R17,R36,R24,R33";"R_1206_0603";4;"20R";;;
22;"R19,R20,R53,R54";"R_1206_0603";4;"2k2";;;
23;"R28";"R_0603";1;"k560";;;
24;"R30,R10";"R_0603";2;"k27";;;
25;"R32,R18";"R_0603";2;"1k5";;;
26;"R37,R38,R49,R51";"R_1206_0603";4;"1k";;;
27;"R50";"R_1206_0603";1;"k15";;;
28;"U2,U9,U3,U6";"TSSOP-16_4.4x5mm_Pitch0.65mm";4;"74HC4053";;;
29;"U13";"SOT-223";1;"LD1117S33TR";;;
30;"U14";"SOT-223";1;"LD1117S25CTR";;;
31;"U4,U5";"SOT-23-6";2;"SN74LVC1G3157";;;
32;"U11";"Si570";1;"Si570";;;
33;"C19,C30,C41,C48,C13";"TantalC_SizeA_EIA-3216_Wave";5;"10uF 16v";;;
34;"J1,J2,J3,J4";"audio_jack_3_5mm_PJ307";4;"JACK_TRS_3pins";;;
35;"C27,C28";"C_0603";2;"15pF";;;
36;"C31,C32";"C_1206_0603";2;"3n3";;;
37;"C35,C37";"C_0603";2;"120pF";;;
38;"C36";"C_1206_0603";1;"220pF";;;
39;"C40";"C_1206_0603";1;"22n";;;
40;"C42";"C_0603";1;"220p";;;
41;"C59,C64";"C_1206_0603";2;"10n";;;
42;"L6,L7,L8";"C_0603";3;"4,7uH";;;
43;"Q1";"SOT-23";1;"BC850";;;
44;"R6,R12";"R_1206_0603";2;"k10";;;
45;"R23";"R_1206_0603";1;"1M5";;;
46;"R27";"R_0603";1;"k43";;;
47;"R55";"R_1206_0603";1;"k18";;;
48;"U7";"DHVQFN14";1;"74LVC74ABQ";;;
49;"U10";"XQFN8";1;"74LVC1G74GM";;;
50;"CON1";"BARREL_JACK";1;"BARREL_JACK";;;
51;"R35";"R_1206_0603";1;"27R";;;
52;"U16";"SO-16-W";1;"PCF8574";;;
53;"L1,L4,L9,L10";"Resistor_Horizontal_RM10mm";4;"47uH";;;
54;"U12";"TO-252-2Lead";1;"L78M09";;;
55;"P8";"Pin_Header_Straight_1x03";1;"TX_PA";;;
56;"C94";"C_0603";1;"200p";;;
57;"C97";"C_0603";1;"750p";;;
58;"C100";"C_0603";1;"750pF";;;
59;"C101,C102,C109,C110";"C_0603";4;"220n";;;
